Introducing contestants...
* Player 1, weighing 23 bytes, "zork" ("I'M ALIIIIVE") !
* Player 2, weighing 617 bytes, "helltrain" ("choo-choo, motherf*****s !") !
Process 1348 hasn't lived for 749 cycles (CTD 636)
Process 1347 hasn't lived for 749 cycles (CTD 636)
Process 1345 hasn't lived for 769 cycles (CTD 636)
Process 1344 hasn't lived for 769 cycles (CTD 636)
Process 1343 hasn't lived for 769 cycles (CTD 636)
Process 1342 hasn't lived for 769 cycles (CTD 636)
Process 1341 hasn't lived for 769 cycles (CTD 636)
Process 1340 hasn't lived for 769 cycles (CTD 636)
Process 1339 hasn't lived for 769 cycles (CTD 636)
Process 1338 hasn't lived for 769 cycles (CTD 636)
Process 1337 hasn't lived for 769 cycles (CTD 636)
Process 1335 hasn't lived for 789 cycles (CTD 636)
Process 1334 hasn't lived for 789 cycles (CTD 636)
Process 1333 hasn't lived for 789 cycles (CTD 636)
Process 1332 hasn't lived for 789 cycles (CTD 636)
Process 1331 hasn't lived for 789 cycles (CTD 636)
Process 1330 hasn't lived for 789 cycles (CTD 636)
Process 1329 hasn't lived for 789 cycles (CTD 636)
Process 1328 hasn't lived for 789 cycles (CTD 636)
Process 1327 hasn't lived for 789 cycles (CTD 636)
Process 1326 hasn't lived for 789 cycles (CTD 636)
Process 1324 hasn't lived for 809 cycles (CTD 636)
Process 1323 hasn't lived for 809 cycles (CTD 636)
Process 1322 hasn't lived for 809 cycles (CTD 636)
Process 1321 hasn't lived for 809 cycles (CTD 636)
Process 1320 hasn't lived for 809 cycles (CTD 636)
Process 1319 hasn't lived for 809 cycles (CTD 636)
Process 1318 hasn't lived for 809 cycles (CTD 636)
Process 1317 hasn't lived for 809 cycles (CTD 636)
Process 1316 hasn't lived for 809 cycles (CTD 636)
Process 1315 hasn't lived for 809 cycles (CTD 636)
Process 1313 hasn't lived for 829 cycles (CTD 636)
Process 1242 hasn't lived for 649 cycles (CTD 636)
Process 1231 hasn't lived for 669 cycles (CTD 636)
Process 1228 hasn't lived for 689 cycles (CTD 636)
Process 1215 hasn't lived for 709 cycles (CTD 636)
Process 1212 hasn't lived for 729 cycles (CTD 636)
Process 1197 hasn't lived for 749 cycles (CTD 636)
Process 1194 hasn't lived for 769 cycles (CTD 636)
Process 1177 hasn't lived for 789 cycles (CTD 636)
Process 1174 hasn't lived for 809 cycles (CTD 636)
Process 1155 hasn't lived for 829 cycles (CTD 636)
Process 1090 hasn't lived for 669 cycles (CTD 636)
Process 1076 hasn't lived for 709 cycles (CTD 636)
Process 1060 hasn't lived for 749 cycles (CTD 636)
Process 1042 hasn't lived for 789 cycles (CTD 636)
Process 859 hasn't lived for 1259 cycles (CTD 636)
Process 1465 hasn't lived for 1195 cycles (CTD 586)
Process 1464 hasn't lived for 1205 cycles (CTD 586)
Process 1463 hasn't lived for 1210 cycles (CTD 586)
Process 1462 hasn't lived for 1155 cycles (CTD 586)
Process 1461 hasn't lived for 1140 cycles (CTD 586)
Process 1460 hasn't lived for 1125 cycles (CTD 586)
Process 1459 hasn't lived for 1130 cycles (CTD 586)
Process 1446 hasn't lived for 605 cycles (CTD 586)
Process 1445 hasn't lived for 605 cycles (CTD 586)
Process 1444 hasn't lived for 605 cycles (CTD 586)
Process 1443 hasn't lived for 605 cycles (CTD 586)
Process 1442 hasn't lived for 605 cycles (CTD 586)
Process 1441 hasn't lived for 605 cycles (CTD 586)
Process 1440 hasn't lived for 605 cycles (CTD 586)
Process 1439 hasn't lived for 605 cycles (CTD 586)
Process 1438 hasn't lived for 605 cycles (CTD 586)
Process 1437 hasn't lived for 605 cycles (CTD 586)
Process 1436 hasn't lived for 605 cycles (CTD 586)
Process 1434 hasn't lived for 625 cycles (CTD 586)
Process 1433 hasn't lived for 625 cycles (CTD 586)
Process 1432 hasn't lived for 625 cycles (CTD 586)
Process 1431 hasn't lived for 625 cycles (CTD 586)
Process 1430 hasn't lived for 625 cycles (CTD 586)
Process 1429 hasn't lived for 625 cycles (CTD 586)
Process 1428 hasn't lived for 625 cycles (CTD 586)
Process 1427 hasn't lived for 625 cycles (CTD 586)
